id,title,original_name,url,duration,count,liked_count,album_id,album_code,album_title,album_year,artists,languages
80,AWRAN - Tera Mera Rishta.mp3,Tera Mera Rishta,songs-file/AWRAN%20-%20Tera%20Mera%20Rishta.mp3.mp3,347.04,0,0,36,AWRAN,Awarapan,2007,Mustafa Zahid,Hindi
81,AWRAN - Toh Phir Aao.mp3,Toh Phir Aao,songs-file/AWRAN%20-%20Toh%20Phir%20Aao.mp3.mp3,348.28,0,0,36,AWRAN,Awarapan,2007,Mustafa Zahid,Hindi
82,AZR - Bol Do Na Zara.mp3,Bol Do Na Zara,songs-file/AZR%20-%20Bol%20Do%20Na%20Zara.mp3.mp3,293.619525,0,0,37,AZR,Azhar,2016,Armaan Malik,Hindi
83,AZR - Itni Si Baat Hain.mp3,Itni Si Baat Hain,songs-file/AZR%20-%20Itni%20Si%20Baat%20Hain.mp3.mp3,294.92565,0,0,37,AZR,Azhar,2016,"Arijit Singh, Antara Mitra",Hindi
84,B - Permission to Dance.mp3,Permission to Dance,songs-file/B%20-%20Permission%20to%20Dance.mp3.mp3,299.4416326530612,0,0,38,B,BTS,2013,BTS,English
85,BADSO - Socha Hai (2nd Version).mp3,Socha Hai (2nd Version),songs-file/BADSO%20-%20Socha%20Hai%20(2nd%20Version).mp3.mp3,253.41387755102042,0,0,39,BADSO,Baadshaho,2017,"Kishore Kumar, Asha Bhosle, Tanishk Bagchi",Hindi
86,BAGI - Sab Tera.mp3,Sab Tera,songs-file/BAGI%20-%20Sab%20Tera.mp3.mp3,228.1828,0,0,40,BAGI,Baaghi,2016,Armaan Malik,Hindi
87,BAH - Aahista Aahista.mp3,Aahista Aahista,songs-file/BAH%20-%20Aahista%20Aahista.mp3.mp3,352.1093333333333,0,0,41,BAH,Bachna Ae Haseeno,2008,"Shreya Ghoshal, Lucky Ali",Hindi
88,BAH - Bachna Ae Haseeno.mp3,Bachna Ae Haseeno,songs-file/BAH%20-%20Bachna%20Ae%20Haseeno.mp3.mp3,211.42133333333334,0,0,41,BAH,Bachna Ae Haseeno,2008,"Sumit Kumar, Vishal Dadlani, Kishore Kumar",Hindi
89,BAH - Khuda Jaane.mp3,Khuda Jaane,songs-file/BAH%20-%20Khuda%20Jaane.mp3.mp3,335.859525,0,0,41,BAH,Bachna Ae Haseeno,2008,"Shilpa Rao, KK",Hindi
